"Site_Name","Year","Common_Name","Ambient_Noise","Detection_Count"
"Adams Creek 03",2015,"Pileated Woodpecker",53.75,1
"Adams Creek 03",2017,"Pileated Woodpecker",53,1
"Adams Creek 03",2019,"Hairy Woodpecker",49,1
"Adams Creek 03",2019,"Pileated Woodpecker",48.25,1
"Adams Creek 03",2019,"Pileated Woodpecker",49,1
"Adams Creek 03",2019,"Pileated Woodpecker",53.25,1
"Adams Creek 03",2023,"Hairy Woodpecker",48,1
"Adams Creek 03",2023,"Hairy Woodpecker",55.5,1
"Adams Creek 03",2023,"Red-bellied Woodpecker",47.5,1
"Adams Creek 03",2025,"Pileated Woodpecker",48,1
"Adams Creek 14",2014,"Pileated Woodpecker",41.5,1
"Adams Creek 14",2018,"Downy Woodpecker",43.5,1
"Adams Creek 14",2022,"Downy Woodpecker",40.75,1
"Adams Creek 14",2022,"Downy Woodpecker",42,1
"Adams Creek 14",2022,"Downy Woodpecker",42.25,1
"Adams Creek 14",2022,"Pileated Woodpecker",39.5,1
"Adams Creek 14",2022,"Pileated Woodpecker",40,1
"Adams Creek 14",2024,"Downy Woodpecker",39.5,1
"Adams Creek 14",2024,"Pileated Woodpecker",45.5,1
"Adams Creek 21",2015,"Pileated Woodpecker",58.5,1
"Adams Creek 21",2019,"Hairy Woodpecker",44.5,1
"Adams Creek 21",2023,"Downy Woodpecker",39.25,1
"Adams Creek 21",2023,"Downy Woodpecker",40.75,1
"Adams Creek 21",2025,"Downy Woodpecker",49,1
"Adams Creek 21",2025,"Red-bellied Woodpecker",38.5,1
"Adams Creek 33",2014,"Pileated Woodpecker",51.5,1
"Adams Creek 33",2016,"Downy Woodpecker",43,2
"Adams Creek 33",2022,"Downy Woodpecker",43,1
"Adams Creek 33",2022,"Downy Woodpecker",43.25,1
"Adams Creek 33",2022,"Downy Woodpecker",49.25,1
"Adams Creek 33",2022,"Downy Woodpecker",57.25,1
"Adams Creek 33",2022,"Downy Woodpecker",57.5,1
"Adams Creek 33",2022,"Hairy Woodpecker",57.5,1
"Adams Creek 33",2022,"Pileated Woodpecker",47,1
"Adams Creek 33",2024,"Downy Woodpecker",44.25,1
"Adams Creek 33",2024,"Downy Woodpecker",46.75,1
"Adams Creek 33",2024,"Downy Woodpecker",47.25,2
"Adams Creek 33",2024,"Hairy Woodpecker",42.5,1
"Adams Creek 33",2024,"Red-bellied Woodpecker",50.5,1
"Caledonia Creek 13",2014,"Hairy Woodpecker",45.75,1
"Caledonia Creek 13",2014,"Pileated Woodpecker",51.25,1
"Caledonia Creek 13",2014,"Red-bellied Woodpecker",41.5,1
"Caledonia Creek 13",2016,"Downy Woodpecker",38.5,1
"Caledonia Creek 13",2016,"Downy Woodpecker",43,1
"Caledonia Creek 13",2016,"Pileated Woodpecker",42,1
"Caledonia Creek 13",2016,"Red-bellied Woodpecker",43,1
"Caledonia Creek 13",2018,"Downy Woodpecker",43,1
"Caledonia Creek 13",2018,"Red-bellied Woodpecker",42.5,2
"Caledonia Creek 13",2022,"Hairy Woodpecker",40,1
"Caledonia Creek 13",2022,"Hairy Woodpecker",45.5,1
"Caledonia Creek 13",2022,"Pileated Woodpecker",52,1
"Caledonia Creek 13",2022,"Red-bellied Woodpecker",44,1
"Caledonia Creek 13",2022,"Red-bellied Woodpecker",50.25,1
"Caledonia Creek 13",2024,"Downy Woodpecker",38.75,2
"Caledonia Creek 13",2024,"Downy Woodpecker",44.75,1
"Caledonia Creek 13",2024,"Downy Woodpecker",45,1
"Caledonia Creek 13",2024,"Pileated Woodpecker",44.75,1
"Caledonia Creek 13",2024,"Red-bellied Woodpecker",37.5,1
"Deckers Creek 03",2016,"Downy Woodpecker",36,1
"Deckers Creek 03",2016,"Downy Woodpecker",41,2
"Deckers Creek 03",2016,"Downy Woodpecker",42,1
"Deckers Creek 03",2016,"Downy Woodpecker",42.25,1
"Deckers Creek 03",2016,"Hairy Woodpecker",32,1
"Deckers Creek 03",2016,"Red-bellied Woodpecker",41,2
"Deckers Creek 03",2018,"Hairy Woodpecker",34.5,1
"Deckers Creek 03",2018,"Pileated Woodpecker",35,1
"Deckers Creek 03",2018,"Red-bellied Woodpecker",35,1
"Deckers Creek 03",2022,"Downy Woodpecker",38,1
"Deckers Creek 03",2022,"Downy Woodpecker",47.75,1
"Deckers Creek 03",2022,"Pileated Woodpecker",38.25,1
"Deckers Creek 03",2022,"Red-bellied Woodpecker",47.75,1
"Deckers Creek 03",2024,"Downy Woodpecker",35,1
"Deckers Creek 03",2024,"Downy Woodpecker",39,1
"Deckers Creek 03",2024,"Pileated Woodpecker",35,2
"Deckers Creek 03",2024,"Pileated Woodpecker",39,1
"Deckers Creek 03",2024,"Pileated Woodpecker",41.25,1
"Deckers Creek 03",2024,"Red-bellied Woodpecker",41.25,1
"Dingmans Creek 05",2014,"Red-bellied Woodpecker",45.5,1
"Dingmans Creek 05",2014,"Red-bellied Woodpecker",47,1
"Dingmans Creek 05",2016,"Downy Woodpecker",35.75,1
"Dingmans Creek 05",2016,"Downy Woodpecker",36.25,1
"Dingmans Creek 05",2016,"Downy Woodpecker",41.25,1
"Dingmans Creek 05",2016,"Downy Woodpecker",45,3
"Dingmans Creek 05",2016,"Pileated Woodpecker",43.5,1
"Dingmans Creek 05",2016,"Pileated Woodpecker",44.5,1
"Dingmans Creek 05",2018,"Downy Woodpecker",48,2
"Dingmans Creek 05",2018,"Red-bellied Woodpecker",45.75,1
"Dingmans Creek 05",2022,"Downy Woodpecker",49.75,1
"Dingmans Creek 05",2022,"Pileated Woodpecker",44.25,1
"Dingmans Creek 05",2022,"Red-bellied Woodpecker",40.75,1
"Dingmans Creek 05",2022,"Red-bellied Woodpecker",44.75,1
"Dingmans Creek 05",2024,"Downy Woodpecker",41,1
"Dingmans Creek 05",2024,"Downy Woodpecker",41.5,1
"Dingmans Creek 05",2024,"Downy Woodpecker",42,1
"Dingmans Creek 05",2024,"Downy Woodpecker",45.75,1
"Dingmans Creek 05",2024,"Pileated Woodpecker",41.75,1
"Dingmans Creek 05",2024,"Pileated Woodpecker",42,2
"Dingmans Creek 05",2024,"Red-bellied Woodpecker",45.25,1
