"Site_Name","Year","Common_Name","Road_Noise","Detection_Count"
"Adams Creek 03",2015,"Pileated Woodpecker",FALSE,1
"Adams Creek 03",2017,"Pileated Woodpecker",FALSE,1
"Adams Creek 03",2019,"Hairy Woodpecker",FALSE,1
"Adams Creek 03",2019,"Pileated Woodpecker",FALSE,3
"Adams Creek 03",2023,"Hairy Woodpecker",FALSE,2
"Adams Creek 03",2023,"Red-bellied Woodpecker",FALSE,1
"Adams Creek 03",2025,"Pileated Woodpecker",FALSE,1
"Adams Creek 14",2014,"Pileated Woodpecker",FALSE,1
"Adams Creek 14",2018,"Downy Woodpecker",FALSE,1
"Adams Creek 14",2022,"Downy Woodpecker",FALSE,3
"Adams Creek 14",2022,"Pileated Woodpecker",FALSE,2
"Adams Creek 14",2024,"Downy Woodpecker",FALSE,1
"Adams Creek 14",2024,"Pileated Woodpecker",FALSE,1
"Adams Creek 21",2015,"Pileated Woodpecker",FALSE,1
"Adams Creek 21",2019,"Hairy Woodpecker",FALSE,1
"Adams Creek 21",2023,"Downy Woodpecker",FALSE,2
"Adams Creek 21",2025,"Downy Woodpecker",FALSE,1
"Adams Creek 21",2025,"Red-bellied Woodpecker",FALSE,1
"Adams Creek 33",2014,"Pileated Woodpecker",TRUE,1
"Adams Creek 33",2016,"Downy Woodpecker",TRUE,2
"Adams Creek 33",2022,"Downy Woodpecker",FALSE,2
"Adams Creek 33",2022,"Downy Woodpecker",TRUE,3
"Adams Creek 33",2022,"Hairy Woodpecker",FALSE,1
"Adams Creek 33",2022,"Pileated Woodpecker",TRUE,1
"Adams Creek 33",2024,"Downy Woodpecker",TRUE,4
"Adams Creek 33",2024,"Hairy Woodpecker",TRUE,1
"Adams Creek 33",2024,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Hairy Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2016,"Downy Woodpecker",FALSE,2
"Caledonia Creek 13",2016,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2016,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2018,"Downy Woodpecker",FALSE,1
"Caledonia Creek 13",2018,"Red-bellied Woodpecker",FALSE,2
"Caledonia Creek 13",2022,"Hairy Woodpecker",FALSE,2
"Caledonia Creek 13",2022,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2022,"Red-bellied Woodpecker",FALSE,2
"Caledonia Creek 13",2024,"Downy Woodpecker",FALSE,4
"Caledonia Creek 13",2024,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2024,"Red-bellied Woodpecker",FALSE,1
"Deckers Creek 03",2016,"Downy Woodpecker",FALSE,5
"Deckers Creek 03",2016,"Hairy Woodpecker",FALSE,1
"Deckers Creek 03",2016,"Red-bellied Woodpecker",FALSE,2
