"National_Park","Site_Name","Year","Ambient_Noise","Road_Noise","Common_Name","Hemlock_Condition_Score","Latitude","Longitude"
"DEWA","Caledonia Creek 13",2014,45.75,FALSE,"Hairy Woodpecker",2,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2014,51.25,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2016,42,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2022,50.25,FALSE,"Red-bellied Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2022,52,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,44.75,FALSE,"Pileated Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,44.75,FALSE,"Downy Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,45,FALSE,"Downy Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2018,43,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2022,45.5,FALSE,"Hairy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2022,44,FALSE,"Red-bellied Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2024,38.75,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2024,38.75,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2014,41.5,FALSE,"Red-bellied Woodpecker",2,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,38.5,FALSE,"Downy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,43,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,43,FALSE,"Downy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2018,42.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2018,42.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2022,40,FALSE,"Hairy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2024,37.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Van Campen Creek 12",2014,40.25,FALSE,"Red-bellied Woodpecker",1,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2016,39,TRUE,"Pileated Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2018,35,FALSE,"Downy Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2022,39.75,FALSE,"Pileated Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2024,41.75,TRUE,"Downy Woodpecker",3,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2024,41.75,TRUE,"Hairy Woodpecker",3,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2018,35,FALSE,"Downy Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2022,40.25,TRUE,"Red-bellied Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2022,40.25,TRUE,"Downy Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2024,38.75,TRUE,"Downy Woodpecker",3,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2016,37.5,TRUE,"Downy Woodpecker",3,41.115329,-74.983297
"DEWA","Van Campen Creek 12",2018,38,FALSE,"Downy Woodpecker",3,41.115329,-74.983297
"DEWA","Deckers Creek 03",2016,42.25,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2016,42,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,41.25,FALSE,"Pileated Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,41.25,FALSE,"Red-bellied Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,39,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,39,FALSE,"Pileated Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2016,32,FALSE,"Hairy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Downy Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Red-bellied Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Red-bellied Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,34.5,FALSE,"Hairy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,35,FALSE,"Pileated Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,35,FALSE,"Red-bellied Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2022,47.75,FALSE,"Downy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2022,47.75,FALSE,"Red-bellied Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2024,35,FALSE,"Pileated Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,36,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2016,41,FALSE,"Downy Woodpecker",2,41.199207,-74.902803
"DEWA","Deckers Creek 03",2022,38.25,FALSE,"Pileated Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2022,38,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2024,35,FALSE,"Pileated Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2024,35,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Dingmans Creek 05",2014,45.5,TRUE,"Red-bellied Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2014,47,TRUE,"Red-bellied Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2016,43.5,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2016,44.5,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2024,42,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
