"National_Park","Site_Name","Detection_Date","Observer_Initials","Common_Name","Ambient_Noise","Road_Noise","Hemlock_Condition_Score","Detection_Count"
"ALPO","Blair Gap Run",2013-06-12,"MRM","Downy Woodpecker",50.75,FALSE,0,2
"ALPO","Blair Gap Run",2013-06-12,"MRM","Downy Woodpecker",52,FALSE,2,1
"ALPO","Blair Gap Run",2013-06-12,"MRM","Pileated Woodpecker",52,FALSE,2,2
"ALPO","Blair Gap Run",2013-06-12,"MRM","Red-bellied Woodpecker",49.25,FALSE,2,1
"ALPO","Blair Gap Run",2013-06-21,"MRM","Pileated Woodpecker",49,FALSE,2,1
"ALPO","Blair Gap Run",2015-06-11,"MRM","Downy Woodpecker",43,TRUE,3,1
"ALPO","Blair Gap Run",2015-06-11,"MRM","Red-bellied Woodpecker",43,TRUE,3,1
"ALPO","Blair Gap Run",2015-06-11,"MRM","Red-bellied Woodpecker",45,TRUE,3,1
"ALPO","Blair Gap Run",2015-06-11,"MRM","Red-bellied Woodpecker",45.75,TRUE,0,1
"ALPO","Blair Gap Run",2015-06-24,"MRM","Downy Woodpecker",47,FALSE,0,1
"ALPO","Blair Gap Run",2015-06-24,"MRM","Downy Woodpecker",48,TRUE,0,1
"ALPO","Blair Gap Run",2015-06-24,"MRM","Downy Woodpecker",52.75,FALSE,3,1
"ALPO","Blair Gap Run",2017-06-22,"MRM","Downy Woodpecker",51,TRUE,0,1
"ALPO","Blair Gap Run",2017-06-22,"MRM","Downy Woodpecker",51.25,TRUE,3,1
"ALPO","Blair Gap Run",2017-06-22,"MRM","Red-bellied Woodpecker",54,TRUE,0,1
"ALPO","Blair Gap Run",2019-06-05,"MRM","Red-bellied Woodpecker",49.25,FALSE,2,1
"ALPO","Blair Gap Run",2019-06-12,"MRM","Red-bellied Woodpecker",42.5,FALSE,0,2
"ALPO","Blair Gap Run",2019-06-12,"MRM","Red-bellied Woodpecker",43.5,FALSE,0,1
"ALPO","Blair Gap Run",2021-06-04,"MRM","Downy Woodpecker",46.5,FALSE,0,1
"ALPO","Blair Gap Run",2021-06-04,"MRM","Pileated Woodpecker",46.5,FALSE,0,1
"ALPO","Blair Gap Run",2022-06-10,"MRM","Downy Woodpecker",42,FALSE,0,1
"ALPO","Blair Gap Run",2022-06-20,"MRM","Hairy Woodpecker",46.5,FALSE,0,1
"ALPO","Blair Gap Run",2022-06-20,"MRM","Red-bellied Woodpecker",46,TRUE,0,1
"ALPO","Blair Gap Run",2022-06-20,"MRM","Red-bellied Woodpecker",46.5,FALSE,0,1
"ALPO","Blair Gap Run",2023-06-07,"MRM","Downy Woodpecker",39.5,FALSE,0,1
"ALPO","Blair Gap Run",2023-06-07,"MRM","Red-bellied Woodpecker",39.5,FALSE,0,1
"ALPO","Blair Gap Run",2023-06-23,"MRM","Red-bellied Woodpecker",39.5,FALSE,0,2
"ALPO","Blair Gap Run",2024-05-22,"MRM","Downy Woodpecker",43.5,FALSE,0,1
"ALPO","Blair Gap Run",2024-05-22,"MRM","Downy Woodpecker",45,FALSE,0,1
"ALPO","Blair Gap Run",2024-05-22,"MRM","Red-bellied Woodpecker",45,FALSE,0,1
"ALPO","Blair Gap Run",2024-05-29,"MRM","Red-bellied Woodpecker",43.25,FALSE,0,4
"ALPO","Blair Gap Run",2025-06-03,"MRM","Downy Woodpecker",42,FALSE,0,1
"ALPO","Blair Gap Run",2025-06-03,"MRM","Pileated Woodpecker",48,FALSE,3,1
"ALPO","Blair Gap Run",2025-06-03,"MRM","Red-bellied Woodpecker",42,FALSE,0,1
"ALPO","Blair Gap Run",2025-06-23,"MRM","Red-bellied Woodpecker",46.5,FALSE,0,2
"ALPO","Blair Gap Run (Muleshoe)",2013-06-04,"MRM","Red-bellied Woodpecker",51,FALSE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2013-06-25,"MRM","Hairy Woodpecker",54,FALSE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2013-06-25,"MRM","Hairy Woodpecker",55,FALSE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2013-06-25,"MRM","Pileated Woodpecker",54.25,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2019-06-11,"MRM","Hairy Woodpecker",48.25,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2019-06-11,"MRM","Hairy Woodpecker",48.5,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2019-06-11,"MRM","Red-bellied Woodpecker",48.25,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2019-06-20,"MRM","Downy Woodpecker",55,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2021-06-04,"MRM","Downy Woodpecker",48,TRUE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2021-06-04,"MRM","Pileated Woodpecker",54,TRUE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2021-06-04,"MRM","Red-bellied Woodpecker",51.75,TRUE,3,1
"ALPO","Blair Gap Run (Muleshoe)",2021-06-04,"MRM","Red-bellied Woodpecker",54,TRUE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2021-06-10,"MRM","Hairy Woodpecker",52.25,FALSE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2022-06-10,"MRM","Downy Woodpecker",48,FALSE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2022-06-10,"MRM","Red-bellied Woodpecker",48,FALSE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2022-06-20,"MRM","Downy Woodpecker",49.75,TRUE,2,1
"ALPO","Blair Gap Run (Muleshoe)",2023-06-05,"MRM","Red-bellied Woodpecker",43,FALSE,3,2
"ALPO","Blair Gap Run (Muleshoe)",2023-06-21,"MRM","Downy Woodpecker",44.5,FALSE,3,1
"ALPO","Blair Gap Run (Muleshoe)",2023-06-21,"MRM","Hairy Woodpecker",48,FALSE,3,1
"ALPO","Blair Gap Run (Muleshoe)",2024-05-24,"MRM","Hairy Woodpecker",50.5,FALSE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2024-05-24,"MRM","Red-bellied Woodpecker",46,FALSE,3,1
"ALPO","Blair Gap Run (Muleshoe)",2024-05-30,"MRM","Hairy Woodpecker",44.5,FALSE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2024-05-30,"MRM","Red-bellied Woodpecker",44.5,FALSE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2024-05-30,"MRM","Red-bellied Woodpecker",49,FALSE,3,2
"ALPO","Blair Gap Run (Muleshoe)",2025-06-04,"MRM","Red-bellied Woodpecker",47.5,TRUE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2025-06-04,"MRM","Red-bellied Woodpecker",51,TRUE,0,1
"ALPO","Blair Gap Run (Muleshoe)",2025-06-24,"MRM","Downy Woodpecker",51.5,FALSE,0,1
"ALPO","Blair Gap Run (Summit)",2013-06-04,"MRM","Pileated Woodpecker",48.75,TRUE,1,1
"ALPO","Blair Gap Run (Summit)",2013-06-04,"MRM","Red-bellied Woodpecker",48.75,TRUE,1,1
"ALPO","Blair Gap Run (Summit)",2013-06-25,"MRM","Downy Woodpecker",51.5,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2013-06-25,"MRM","Hairy Woodpecker",52.25,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2013-06-25,"MRM","Pileated Woodpecker",52.25,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2019-06-11,"MRM","Downy Woodpecker",48,FALSE,2,1
"ALPO","Blair Gap Run (Summit)",2021-06-08,"MRM","Hairy Woodpecker",50.5,TRUE,1,1
"ALPO","Blair Gap Run (Summit)",2021-06-08,"MRM","Hairy Woodpecker",54.75,TRUE,1,1
"ALPO","Blair Gap Run (Summit)",2021-06-08,"MRM","Red-bellied Woodpecker",50.5,TRUE,1,1
"ALPO","Blair Gap Run (Summit)",2022-06-09,"MRM","Pileated Woodpecker",50,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2022-06-09,"MRM","Pileated Woodpecker",53.5,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2022-06-23,"MRM","Downy Woodpecker",43,TRUE,2,1
"ALPO","Blair Gap Run (Summit)",2023-06-05,"MRM","Downy Woodpecker",43,FALSE,2,1
"ALPO","Blair Gap Run (Summit)",2023-06-05,"MRM","Downy Woodpecker",43,TRUE,3,1
"ALPO","Blair Gap Run (Summit)",2023-06-05,"MRM","Hairy Woodpecker",42.5,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2023-06-21,"MRM","Hairy Woodpecker",43.75,FALSE,2,1
"ALPO","Blair Gap Run (Summit)",2024-05-24,"MRM","Hairy Woodpecker",39,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2024-05-24,"MRM","Red-bellied Woodpecker",39,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2024-05-24,"MRM","Red-bellied Woodpecker",47,TRUE,3,1
"ALPO","Blair Gap Run (Summit)",2024-05-30,"MRM","Red-bellied Woodpecker",36.5,FALSE,2,1
"ALPO","Blair Gap Run (Summit)",2024-05-30,"MRM","Red-bellied Woodpecker",41.25,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-04,"MRM","Downy Woodpecker",44.5,TRUE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-04,"MRM","Downy Woodpecker",52.75,TRUE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-04,"MRM","Hairy Woodpecker",52.25,TRUE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-24,"MRM","Downy Woodpecker",39,FALSE,2,1
"ALPO","Blair Gap Run (Summit)",2025-06-24,"MRM","Downy Woodpecker",43,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-24,"MRM","Pileated Woodpecker",45,FALSE,3,1
"ALPO","Blair Gap Run (Summit)",2025-06-24,"MRM","Red-bellied Woodpecker",39,FALSE,2,1
"ALPO","Millstone Run",2011-05-27,"MRM","Red-bellied Woodpecker",49,FALSE,0,4
"ALPO","Millstone Run",2011-06-27,"MRM","Downy Woodpecker",49,FALSE,0,2
"ALPO","Millstone Run",2011-06-27,"MRM","Pileated Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2011-06-27,"MRM","Red-bellied Woodpecker",49,FALSE,0,4
"ALPO","Millstone Run",2012-06-04,"MRM","Pileated Woodpecker",54.5,FALSE,0,1
"ALPO","Millstone Run",2012-06-04,"MRM","Red-bellied Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2012-06-13,"MRM","Downy Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2012-06-13,"MRM","Pileated Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2012-06-13,"MRM","Red-bellied Woodpecker",49,FALSE,0,2
"ALPO","Millstone Run",2013-06-12,"MRM","Red-bellied Woodpecker",49,FALSE,0,2
"ALPO","Millstone Run",2013-06-21,"MRM","Downy Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2013-06-21,"MRM","Pileated Woodpecker",49,FALSE,0,1
"ALPO","Millstone Run",2015-06-11,"MRM","Red-bellied Woodpecker",40.25,FALSE,0,1
"ALPO","Millstone Run",2015-06-24,"MRM","Downy Woodpecker",47.5,FALSE,0,1
"ALPO","Millstone Run",2015-06-24,"MRM","Pileated Woodpecker",44.5,FALSE,0,1
"ALPO","Millstone Run",2015-06-24,"MRM","Red-bellied Woodpecker",47.5,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Downy Woodpecker",38.25,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Downy Woodpecker",47.25,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Pileated Woodpecker",37.5,FALSE,0,2
"ALPO","Millstone Run",2017-06-12,"MRM","Pileated Woodpecker",47.25,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Red-bellied Woodpecker",37.5,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Red-bellied Woodpecker",38.5,FALSE,0,1
"ALPO","Millstone Run",2017-06-12,"MRM","Red-bellied Woodpecker",47.25,FALSE,0,1
"ALPO","Millstone Run",2017-06-22,"MRM","Pileated Woodpecker",40.75,FALSE,0,1
"ALPO","Millstone Run",2017-06-22,"MRM","Red-bellied Woodpecker",40.75,FALSE,0,1
