"Park","Reference_Code","Scientific_Name","Common_Name","First_Year"
"FONE","2315071","Stelgidopteryx serripennis","Northern Rough-winged Swallow","2025"
"NERI","2315071","Geothlypis formosa","Kentucky Warbler","2025"
"NERI","2315071","Buteo platypterus","Broad-winged Hawk","2025"
"BLUE","2315071","Buteo lineatus","Red-shouldered Hawk","2025"
"FONE","2315071","Progne subis","Purple Martin","2025"
"ALPO","2315071","Helmitheros vermivorum","Worm-eating Warbler","2025"
"ALPO","2315071","Vireo gilvus","Warbling Vireo","2025"
"FONE","2315071","Tachycineta bicolor","Tree Swallow","2025"
"ALPO","2315071","Haemorhous purpureus","Purple Finch","2025"
"ALPO","2315071","Agelaius phoeniceus","Red-winged Blackbird","2025"
"NERI","2315071","Zonotrichia albicollis","White-throated Sparrow","2025"
"DEWA","2315071","Empidonax minimus","Least Flycatcher","2024"
"NERI","2315071","Empidonax traillii","Willow Flycatcher","2024"
"FRHI","2315071","Spizella passerina","Chipping Sparrow","2024"
"FONE","2315071","Cathartes aura","Turkey Vulture","2024"
"NERI","2315071","Setophaga castanea","Bay-breasted Warbler","2024"
"BLUE","2315071","Setophaga castanea","Bay-breasted Warbler","2024"
"DEWA","2315071","Haemorhous mexicanus","House Finch","2024"
"FRHI","2315071","Accipiter striatus","Sharp-shinned Hawk","2024"
"DEWA","2315071","Butorides virescens","Green Heron","2024"
"ALPO","2315071","Setophaga petechia","Yellow Warbler","2024"
"DEWA","2315071","Corvus ossifragus","Fish Crow","2024"
"ALPO","2315071","Setophaga magnolia","Magnolia Warbler","2024"
"FONE","2315071","Setophaga cerulea","Cerulean Warbler","2024"
"DEWA","2315071","Junco hyemalis","Dark-eyed Junco","2023"
"FONE","2315071","Setophaga pinus","Pine Warbler","2023"
"NERI","2315071","Vireo griseus","White-eyed Vireo","2023"
"ALPO","2315071","Mniotilta varia","Black-and-white Warbler","2023"
"FRHI","2315071","Charadrius vociferus","Killdeer","2023"
"ALPO","2315071","Sphyrapicus varius","Yellow-bellied Sapsucker","2023"
"FONE","2315071","Falco columbarius","Merlin","2023"
"FONE","2315071","Empidonax alnorum","Alder Flycatcher","2023"
"DEWA","2315071","Empidonax alnorum","Alder Flycatcher","2023"
"NERI","2315071","Sitta canadensis","Red-breasted Nuthatch","2023"
"FONE","2315071","Sitta canadensis","Red-breasted Nuthatch","2023"
"FRHI","2315071","Setophaga fusca","Blackburnian Warbler","2022"
"ALPO","2315071","Ardea herodias","Great Blue Heron","2022"
"ALPO","2315071","Sialia sialis","Eastern Bluebird","2022"
"FRHI","2315071","Zenaida macroura","Mourning Dove","2022"
"BLUE","2315071","Catharus ustulatus","Swainson's Thrush","2022"
"BLUE","2315071","Buteo platypterus","Broad-winged Hawk","2022"
"ALPO","2315071","Setophaga fusca","Blackburnian Warbler","2022"
"BLUE","2315071","Strix varia","Barred Owl","2022"
"ALPO","2315071","Meleagris gallopavo","Wild Turkey","2022"
"NERI","2315071","Haliaeetus leucocephalus","Bald Eagle","2022"
"FONE","2315071","Corvus corax","Common Raven","2022"
"BLUE","2315071","Branta canadensis","Canada Goose","2022"
"NERI","2315071","Setophaga tigrina","Cape May Warbler","2022"
"NERI","2315071","Troglodytes aedon","Northern House Wren","2022"
"FRHI","2315071","Quiscalus quiscula","Common Grackle","2021"
"NERI","2315071","Cardellina canadensis","Canada Warbler","2021"
"ALPO","2315071","Setophaga caerulescens","Black-throated Blue Warbler","2021"
"FRHI","2315071","Bombycilla cedrorum","Cedar Waxwing","2021"
"BLUE","2315071","Icterus galbula","Baltimore Oriole","2021"
"FRHI","2315071","Sialia sialis","Eastern Bluebird","2021"
"FONE","2315071","Troglodytes hiemalis","Winter Wren","2021"
"FONE","2315071","Colinus virginianus","Northern Bobwhite","2021"
"FONE","2315071","Vermivora cyanoptera","Blue-winged Warbler","2021"
"FONE","2315071","Catharus fuscescens","Veery","2021"
"FONE","2315071","Sialia sialis","Eastern Bluebird","2021"
"BLUE","2315071","Vireo gilvus","Warbling Vireo","2021"
"ALPO","2315071","Coccyzus erythropthalmus","Black-billed Cuckoo","2021"
"ALPO","2315071","Catharus guttatus","Hermit Thrush","2021"
"ALPO","2315071","Vireo flavifrons","Yellow-throated Vireo","2021"
"FRHI","2315071","Chaetura pelagica","Chimney Swift","2021"
"ALPO","2315071","Corvus corax","Common Raven","2021"
"NERI","2315071","Leiothlypis peregrina","Tennessee Warbler","2021"
"FRHI","2315071","Mniotilta varia","Black-and-white Warbler","2021"
"FONE","2315071","Branta canadensis","Canada Goose","2021"
"FRHI","2315071","Dumetella carolinensis","Gray Catbird","2021"
"BLUE","2315071","Bubo virginianus","Great Horned Owl","2021"
"FONE","2315071","Strix varia","Barred Owl","2019"
"ALPO","2315071","Setophaga cerulea","Cerulean Warbler","2019"
"FRHI","2315071","Unidentified Bird","Unidentified Bird","2019"
"DEWA","2315071","Empidonax traillii","Willow Flycatcher","2019"
"DEWA","2315071","Sitta canadensis","Red-breasted Nuthatch","2019"
"FRHI","2315071","Setophaga cerulea","Cerulean Warbler","2019"
"FRHI","2315071","Agelaius phoeniceus","Red-winged Blackbird","2019"
"DEWA","2315071","Cardellina canadensis","Canada Warbler","2019"
"ALPO","2315071","Junco hyemalis","Dark-eyed Junco","2019"
"NERI","2315071","Sialia sialis","Eastern Bluebird","2018"
"BLUE","2315071","Pheucticus ludovicianus","Rose-breasted Grosbeak","2018"
"NERI","2315071","Certhia americana","Brown Creeper","2018"
"DEWA","2315071","Stelgidopteryx serripennis","Northern Rough-winged Swallow","2018"
"DEWA","2315071","Sialia sialis","Eastern Bluebird","2018"
"DEWA","2315071","Toxostoma rufum","Brown Thrasher","2017"
"FONE","2315071","Empidonax traillii","Willow Flycatcher","2017"
"ALPO","2315071","Buteo lineatus","Red-shouldered Hawk","2017"
"DEWA","2315071","Setophaga pensylvanica","Chestnut-sided Warbler","2017"
"DEWA","2315071","Accipiter striatus","Sharp-shinned Hawk","2017"
"FRHI","2315071","Unidentified Woodpecker","Unidentified Woodpecker","2017"
"DEWA","2315071","Accipiter cooperii","Cooper's Hawk","2017"
"FONE","2315071","Polioptila caerulea ","Blue-gray Gnatcatcher","2017"
"FONE","2315071","Sturnus vulgaris","European Starling","2017"
"NERI","2315071","Sphyrapicus varius","Yellow-bellied Sapsucker","2017"
"ALPO","2315071","Sturnus vulgaris","European Starling","2017"
"FONE","2315071","Zenaida macroura","Mourning Dove","2017"
"NERI","2315071","Spizella passerina","Chipping Sparrow","2017"
"FONE","2315071","Passerculus sandwichensis","Savannah Sparrow","2017"
"BLUE","2315071","Geothlypis formosa","Kentucky Warbler","2016"
"DEWA","2315071","Haliaeetus leucocephalus","Bald Eagle","2016"
"NERI","2315071","Meleagris gallopavo","Wild Turkey","2016"
"DEWA","2315071","Strix varia","Barred Owl","2016"
"BLUE","2315071","Cathartes aura","Turkey Vulture","2016"
"BLUE","2315071","Buteo jamaicensis","Red-tailed Hawk","2016"
"NERI","2315071","Setophaga cerulea","Cerulean Warbler","2016"
"NERI","2315071","Molothrus ater","Brown-headed Cowbird","2016"
"NERI","2315071","Buteo jamaicensis","Red-tailed Hawk","2016"
